agency_id,agency_name,district_id,state_id,agency_type
AGENCY-0492,WES-District-22 - Water Supply & Sewerage Board,DIST-0171,ST-04,Rural Development Department (RDD)
AGENCY-0493,CHH-District-11 - Panchayati Raj Institution (PRI),DIST-0575,ST-17,Municipal Corporation (MC)
AGENCY-0494,BIH-District-16 - Water Supply & Sewerage Board,DIST-0127,ST-03,Public Works Department (PWD)
AGENCY-0495,UTT-District-21 - Panchayati Raj Institution (PRI),DIST-0021,ST-01,Water Supply & Sewerage Board
AGENCY-0496,CHH-District-07 - Water Supply & Sewerage Board,DIST-0571,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0497,CHH-District-04 - Panchayati Raj Institution (PRI),DIST-0568,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0498,BIH-District-01 - Municipal Corporation (MC),DIST-0112,ST-03,Rural Development Department (RDD)
AGENCY-0499,BIH-District-10 - Rural Development Department (RDD),DIST-0121,ST-03,Municipal Corporation (MC)
AGENCY-0500,WES-District-19 - Rural Development Department (RDD),DIST-0168,ST-04,Rural Development Department (RDD)
AGENCY-0501,GUJ-District-24 - Municipal Corporation (MC),DIST-0370,ST-09,Municipal Corporation (MC)
AGENCY-0502,MAH-District-13 - Rural Development Department (RDD),DIST-0088,ST-02,Municipal Corporation (MC)
AGENCY-0503,BIH-District-23 - Public Works Department (PWD),DIST-0134,ST-03,Rural Development Department (RDD)
AGENCY-0504,ODI-District-16 - Municipal Corporation (MC),DIST-0421,ST-11,Public Works Department (PWD)
AGENCY-0505,ODI-District-14 - Public Works Department (PWD),DIST-0419,ST-11,Municipal Corporation (MC)
AGENCY-0506,GUJ-District-05 - Public Works Department (PWD),DIST-0351,ST-09,Rural Development Department (RDD)
AGENCY-0507,ASS-District-01 - Panchayati Raj Institution (PRI),DIST-0507,ST-15,Municipal Corporation (MC)
AGENCY-0508,TEL-District-29 - Public Works Department (PWD),DIST-0464,ST-12,Water Supply & Sewerage Board
AGENCY-0509,MAD-District-36 - Municipal Corporation (MC),DIST-0208,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0510,GUJ-District-12 - Rural Development Department (RDD),DIST-0358,ST-09,Water Supply & Sewerage Board
AGENCY-0511,UTT-District-73 - Water Supply & Sewerage Board,DIST-0073,ST-01,Rural Development Department (RDD)
AGENCY-0512,PUN-District-06 - Public Works Department (PWD),DIST-0547,ST-16,Public Works Department (PWD)
AGENCY-0513,UTT-District-58 - Panchayati Raj Institution (PRI),DIST-0058,ST-01,Rural Development Department (RDD)
AGENCY-0514,GUJ-District-25 - Water Supply & Sewerage Board,DIST-0371,ST-09,Public Works Department (PWD)
AGENCY-0515,KAR-District-11 - Municipal Corporation (MC),DIST-0326,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0516,CHH-District-09 - Municipal Corporation (MC),DIST-0573,ST-17,Public Works Department (PWD)
AGENCY-0517,KAR-District-21 - Rural Development Department (RDD),DIST-0336,ST-08,Public Works Department (PWD)
AGENCY-0518,CHH-District-25 - Rural Development Department (RDD),DIST-0589,ST-17,Public Works Department (PWD)
AGENCY-0519,BIH-District-27 - Water Supply & Sewerage Board,DIST-0138,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0520,ASS-District-02 - Panchayati Raj Institution (PRI),DIST-0508,ST-15,Public Works Department (PWD)
AGENCY-0521,TAM-District-13 - Public Works Department (PWD),DIST-0240,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0522,WES-District-18 - Water Supply & Sewerage Board,DIST-0167,ST-04,Rural Development Department (RDD)
AGENCY-0523,MAD-District-23 - Water Supply & Sewerage Board,DIST-0195,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0524,MAH-District-31 - Panchayati Raj Institution (PRI),DIST-0106,ST-02,Rural Development Department (RDD)
AGENCY-0525,TEL-District-09 - Panchayati Raj Institution (PRI),DIST-0444,ST-12,Municipal Corporation (MC)
AGENCY-0526,CHH-District-18 - Municipal Corporation (MC),DIST-0582,ST-17,Rural Development Department (RDD)
AGENCY-0527,BIH-District-14 - Panchayati Raj Institution (PRI),DIST-0125,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0528,MAD-District-22 - Water Supply & Sewerage Board,DIST-0194,ST-05,Water Supply & Sewerage Board
AGENCY-0529,TAM-District-10 - Municipal Corporation (MC),DIST-0237,ST-06,Water Supply & Sewerage Board
AGENCY-0530,UTT-District-08 - Rural Development Department (RDD),DIST-0008,ST-01,Municipal Corporation (MC)
AGENCY-0531,RAJ-District-44 - Municipal Corporation (MC),DIST-0309,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0532,UTT-District-40 - Panchayati Raj Institution (PRI),DIST-0040,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0533,ASS-District-18 - Public Works Department (PWD),DIST-0524,ST-15,Public Works Department (PWD)
AGENCY-0534,MAH-District-13 - Panchayati Raj Institution (PRI),DIST-0088,ST-02,Water Supply & Sewerage Board
AGENCY-0535,AND-District-04 - Water Supply & Sewerage Board,DIST-0383,ST-10,Water Supply & Sewerage Board
AGENCY-0536,GUJ-District-26 - Municipal Corporation (MC),DIST-0372,ST-09,Rural Development Department (RDD)
AGENCY-0537,CHH-District-31 - Municipal Corporation (MC),DIST-0595,ST-17,Water Supply & Sewerage Board
AGENCY-0538,HAR-District-12 - Rural Development Department (RDD),DIST-0609,ST-18,Public Works Department (PWD)
AGENCY-0539,ASS-District-27 - Panchayati Raj Institution (PRI),DIST-0533,ST-15,Water Supply & Sewerage Board
AGENCY-0540,ODI-District-25 - Rural Development Department (RDD),DIST-0430,ST-11,Rural Development Department (RDD)
AGENCY-0541,GUJ-District-32 - Rural Development Department (RDD),DIST-0378,ST-09,Rural Development Department (RDD)
AGENCY-0542,BIH-District-19 - Municipal Corporation (MC),DIST-0130,ST-03,Public Works Department (PWD)
AGENCY-0543,UTT-District-58 - Public Works Department (PWD),DIST-0058,ST-01,Municipal Corporation (MC)
AGENCY-0544,UTT-District-19 - Panchayati Raj Institution (PRI),DIST-0019,ST-01,Public Works Department (PWD)
AGENCY-0545,GUJ-District-18 - Public Works Department (PWD),DIST-0364,ST-09,Public Works Department (PWD)
AGENCY-0546,TAM-District-28 - Municipal Corporation (MC),DIST-0255,ST-06,Public Works Department (PWD)
AGENCY-0547,RAJ-District-43 - Water Supply & Sewerage Board,DIST-0308,ST-07,Municipal Corporation (MC)
AGENCY-0548,TEL-District-30 - Rural Development Department (RDD),DIST-0465,ST-12,Water Supply & Sewerage Board
AGENCY-0549,MAH-District-16 - Municipal Corporation (MC),DIST-0091,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0550,UTT-District-20 - Water Supply & Sewerage Board,DIST-0020,ST-01,Municipal Corporation (MC)
AGENCY-0551,BIH-District-31 - Public Works Department (PWD),DIST-0142,ST-03,Municipal Corporation (MC)
AGENCY-0552,KAR-District-23 - Public Works Department (PWD),DIST-0338,ST-08,Water Supply & Sewerage Board
AGENCY-0553,TEL-District-10 - Panchayati Raj Institution (PRI),DIST-0445,ST-12,Rural Development Department (RDD)
AGENCY-0554,WES-District-19 - Panchayati Raj Institution (PRI),DIST-0168,ST-04,Public Works Department (PWD)
AGENCY-0555,TAM-District-01 - Rural Development Department (RDD),DIST-0228,ST-06,Public Works Department (PWD)
AGENCY-0556,MAH-District-03 - Rural Development Department (RDD),DIST-0078,ST-02,Rural Development Department (RDD)
AGENCY-0557,MAD-District-45 - Municipal Corporation (MC),DIST-0217,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0558,BIH-District-09 - Water Supply & Sewerage Board,DIST-0120,ST-03,Municipal Corporation (MC)
AGENCY-0559,RAJ-District-26 - Public Works Department (PWD),DIST-0291,ST-07,Water Supply & Sewerage Board
AGENCY-0560,TEL-District-26 - Panchayati Raj Institution (PRI),DIST-0461,ST-12,Public Works Department (PWD)
AGENCY-0561,UTT-District-67 - Rural Development Department (RDD),DIST-0067,ST-01,Rural Development Department (RDD)
AGENCY-0562,BIH-District-19 - Panchayati Raj Institution (PRI),DIST-0130,ST-03,Public Works Department (PWD)
AGENCY-0563,MAD-District-30 - Water Supply & Sewerage Board,DIST-0202,ST-05,Water Supply & Sewerage Board
AGENCY-0564,UTT-District-06 - Municipal Corporation (MC),DIST-0006,ST-01,Water Supply & Sewerage Board
AGENCY-0565,GUJ-District-12 - Rural Development Department (RDD),DIST-0358,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0566,BIH-District-21 - Rural Development Department (RDD),DIST-0132,ST-03,Water Supply & Sewerage Board
AGENCY-0567,GUJ-District-33 - Panchayati Raj Institution (PRI),DIST-0379,ST-09,Public Works Department (PWD)
AGENCY-0568,PUN-District-20 - Public Works Department (PWD),DIST-0561,ST-16,Municipal Corporation (MC)
AGENCY-0569,MAD-District-16 - Rural Development Department (RDD),DIST-0188,ST-05,Public Works Department (PWD)
AGENCY-0570,TAM-District-06 - Municipal Corporation (MC),DIST-0233,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0571,UTT-District-16 - Rural Development Department (RDD),DIST-0016,ST-01,Public Works Department (PWD)
AGENCY-0572,TAM-District-22 - Water Supply & Sewerage Board,DIST-0249,ST-06,Water Supply & Sewerage Board
AGENCY-0573,HAR-District-21 - Public Works Department (PWD),DIST-0618,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0574,UTT-District-29 - Panchayati Raj Institution (PRI),DIST-0029,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0575,KER-District-11 - Rural Development Department (RDD),DIST-0479,ST-13,Public Works Department (PWD)
AGENCY-0576,RAJ-District-17 - Panchayati Raj Institution (PRI),DIST-0282,ST-07,Municipal Corporation (MC)
AGENCY-0577,UTT-District-62 - Municipal Corporation (MC),DIST-0062,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0578,TEL-District-23 - Water Supply & Sewerage Board,DIST-0458,ST-12,Rural Development Department (RDD)
AGENCY-0579,TEL-District-32 - Public Works Department (PWD),DIST-0467,ST-12,Water Supply & Sewerage Board
AGENCY-0580,RAJ-District-33 - Municipal Corporation (MC),DIST-0298,ST-07,Municipal Corporation (MC)
AGENCY-0581,GUJ-District-31 - Rural Development Department (RDD),DIST-0377,ST-09,Municipal Corporation (MC)
AGENCY-0582,RAJ-District-30 - Municipal Corporation (MC),DIST-0295,ST-07,Municipal Corporation (MC)
AGENCY-0583,RAJ-District-23 - Public Works Department (PWD),DIST-0288,ST-07,Rural Development Department (RDD)
AGENCY-0584,CHH-District-17 - Panchayati Raj Institution (PRI),DIST-0581,ST-17,Municipal Corporation (MC)
AGENCY-0585,WES-District-12 - Municipal Corporation (MC),DIST-0161,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0586,BIH-District-25 - Public Works Department (PWD),DIST-0136,ST-03,Rural Development Department (RDD)
AGENCY-0587,GUJ-District-04 - Rural Development Department (RDD),DIST-0350,ST-09,Rural Development Department (RDD)
AGENCY-0588,WES-District-18 - Rural Development Department (RDD),DIST-0167,ST-04,Municipal Corporation (MC)
AGENCY-0589,RAJ-District-44 - Panchayati Raj Institution (PRI),DIST-0309,ST-07,Public Works Department (PWD)
AGENCY-0590,KAR-District-23 - Water Supply & Sewerage Board,DIST-0338,ST-08,Municipal Corporation (MC)
AGENCY-0591,RAJ-District-12 - Rural Development Department (RDD),DIST-0277,ST-07,Rural Development Department (RDD)
AGENCY-0592,UTT-District-17 - Public Works Department (PWD),DIST-0017,ST-01,Municipal Corporation (MC)
AGENCY-0593,ASS-District-16 - Water Supply & Sewerage Board,DIST-0522,ST-15,Municipal Corporation (MC)
AGENCY-0594,CHH-District-12 - Panchayati Raj Institution (PRI),DIST-0576,ST-17,Rural Development Department (RDD)
AGENCY-0595,WES-District-03 - Rural Development Department (RDD),DIST-0152,ST-04,Municipal Corporation (MC)
AGENCY-0596,UTT-District-07 - Water Supply & Sewerage Board,DIST-0007,ST-01,Municipal Corporation (MC)
AGENCY-0597,TAM-District-09 - Municipal Corporation (MC),DIST-0236,ST-06,Public Works Department (PWD)
AGENCY-0598,RAJ-District-03 - Public Works Department (PWD),DIST-0268,ST-07,Public Works Department (PWD)
AGENCY-0599,UTT-District-04 - Municipal Corporation (MC),DIST-0004,ST-01,Municipal Corporation (MC)
AGENCY-0600,PUN-District-12 - Water Supply & Sewerage Board,DIST-0553,ST-16,Water Supply & Sewerage Board
AGENCY-0601,HAR-District-18 - Public Works Department (PWD),DIST-0615,ST-18,Municipal Corporation (MC)
AGENCY-0602,TEL-District-13 - Public Works Department (PWD),DIST-0448,ST-12,Public Works Department (PWD)
AGENCY-0603,HAR-District-09 - Water Supply & Sewerage Board,DIST-0606,ST-18,Rural Development Department (RDD)
AGENCY-0604,UTT-District-47 - Rural Development Department (RDD),DIST-0047,ST-01,Public Works Department (PWD)
AGENCY-0605,ODI-District-21 - Rural Development Department (RDD),DIST-0426,ST-11,Public Works Department (PWD)
AGENCY-0606,HAR-District-10 - Water Supply & Sewerage Board,DIST-0607,ST-18,Water Supply & Sewerage Board
AGENCY-0607,HAR-District-21 - Public Works Department (PWD),DIST-0618,ST-18,Municipal Corporation (MC)
AGENCY-0608,JHA-District-06 - Municipal Corporation (MC),DIST-0488,ST-14,Rural Development Department (RDD)
AGENCY-0609,TAM-District-15 - Water Supply & Sewerage Board,DIST-0242,ST-06,Public Works Department (PWD)
AGENCY-0610,AND-District-18 - Municipal Corporation (MC),DIST-0397,ST-10,Municipal Corporation (MC)
AGENCY-0611,GUJ-District-24 - Municipal Corporation (MC),DIST-0370,ST-09,Water Supply & Sewerage Board
AGENCY-0612,KER-District-07 - Public Works Department (PWD),DIST-0475,ST-13,Rural Development Department (RDD)
AGENCY-0613,MAD-District-17 - Rural Development Department (RDD),DIST-0189,ST-05,Rural Development Department (RDD)
AGENCY-0614,BIH-District-26 - Municipal Corporation (MC),DIST-0137,ST-03,Public Works Department (PWD)
AGENCY-0615,JHA-District-06 - Municipal Corporation (MC),DIST-0488,ST-14,Water Supply & Sewerage Board
AGENCY-0616,UTT-District-05 - Rural Development Department (RDD),DIST-0005,ST-01,Water Supply & Sewerage Board
AGENCY-0617,RAJ-District-41 - Panchayati Raj Institution (PRI),DIST-0306,ST-07,Public Works Department (PWD)
AGENCY-0618,KER-District-04 - Rural Development Department (RDD),DIST-0472,ST-13,Water Supply & Sewerage Board
AGENCY-0619,TAM-District-05 - Public Works Department (PWD),DIST-0232,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0620,RAJ-District-31 - Panchayati Raj Institution (PRI),DIST-0296,ST-07,Water Supply & Sewerage Board
AGENCY-0621,MAD-District-54 - Rural Development Department (RDD),DIST-0226,ST-05,Municipal Corporation (MC)
AGENCY-0622,MAH-District-31 - Water Supply & Sewerage Board,DIST-0106,ST-02,Rural Development Department (RDD)
AGENCY-0623,WES-District-01 - Public Works Department (PWD),DIST-0150,ST-04,Rural Development Department (RDD)
AGENCY-0624,GUJ-District-15 - Municipal Corporation (MC),DIST-0361,ST-09,Water Supply & Sewerage Board
AGENCY-0625,KER-District-14 - Rural Development Department (RDD),DIST-0482,ST-13,Water Supply & Sewerage Board
AGENCY-0626,BIH-District-10 - Rural Development Department (RDD),DIST-0121,ST-03,Rural Development Department (RDD)
AGENCY-0627,KAR-District-19 - Rural Development Department (RDD),DIST-0334,ST-08,Water Supply & Sewerage Board
AGENCY-0628,WES-District-19 - Rural Development Department (RDD),DIST-0168,ST-04,Municipal Corporation (MC)
AGENCY-0629,RAJ-District-02 - Panchayati Raj Institution (PRI),DIST-0267,ST-07,Water Supply & Sewerage Board
AGENCY-0630,RAJ-District-05 - Public Works Department (PWD),DIST-0270,ST-07,Municipal Corporation (MC)
AGENCY-0631,TEL-District-02 - Rural Development Department (RDD),DIST-0437,ST-12,Water Supply & Sewerage Board
AGENCY-0632,TAM-District-16 - Public Works Department (PWD),DIST-0243,ST-06,Public Works Department (PWD)
AGENCY-0633,TEL-District-08 - Rural Development Department (RDD),DIST-0443,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0634,TEL-District-20 - Water Supply & Sewerage Board,DIST-0455,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0635,PUN-District-21 - Rural Development Department (RDD),DIST-0562,ST-16,Water Supply & Sewerage Board
AGENCY-0636,WES-District-06 - Public Works Department (PWD),DIST-0155,ST-04,Municipal Corporation (MC)
AGENCY-0637,KER-District-01 - Water Supply & Sewerage Board,DIST-0469,ST-13,Water Supply & Sewerage Board
AGENCY-0638,UTT-District-64 - Municipal Corporation (MC),DIST-0064,ST-01,Municipal Corporation (MC)
AGENCY-0639,GUJ-District-26 - Public Works Department (PWD),DIST-0372,ST-09,Public Works Department (PWD)
AGENCY-0640,ODI-District-11 - Water Supply & Sewerage Board,DIST-0416,ST-11,Public Works Department (PWD)
AGENCY-0641,UTT-District-29 - Panchayati Raj Institution (PRI),DIST-0029,ST-01,Rural Development Department (RDD)
AGENCY-0642,HAR-District-12 - Water Supply & Sewerage Board,DIST-0609,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0643,CHH-District-24 - Rural Development Department (RDD),DIST-0588,ST-17,Water Supply & Sewerage Board
AGENCY-0644,RAJ-District-12 - Panchayati Raj Institution (PRI),DIST-0277,ST-07,Public Works Department (PWD)
AGENCY-0645,MAH-District-35 - Public Works Department (PWD),DIST-0110,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0646,BIH-District-07 - Public Works Department (PWD),DIST-0118,ST-03,Municipal Corporation (MC)
AGENCY-0647,ASS-District-35 - Public Works Department (PWD),DIST-0541,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0648,CHH-District-31 - Panchayati Raj Institution (PRI),DIST-0595,ST-17,Public Works Department (PWD)
AGENCY-0649,UTT-District-50 - Water Supply & Sewerage Board,DIST-0050,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0650,UTT-District-66 - Water Supply & Sewerage Board,DIST-0066,ST-01,Water Supply & Sewerage Board
AGENCY-0651,TEL-District-01 - Public Works Department (PWD),DIST-0436,ST-12,Public Works Department (PWD)
AGENCY-0652,BIH-District-25 - Public Works Department (PWD),DIST-0136,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0653,TAM-District-16 - Municipal Corporation (MC),DIST-0243,ST-06,Public Works Department (PWD)
AGENCY-0654,TEL-District-16 - Water Supply & Sewerage Board,DIST-0451,ST-12,Public Works Department (PWD)
AGENCY-0655,AND-District-25 - Panchayati Raj Institution (PRI),DIST-0404,ST-10,Public Works Department (PWD)
AGENCY-0656,MAD-District-10 - Municipal Corporation (MC),DIST-0182,ST-05,Water Supply & Sewerage Board
AGENCY-0657,TAM-District-02 - Public Works Department (PWD),DIST-0229,ST-06,Rural Development Department (RDD)
AGENCY-0658,ASS-District-17 - Panchayati Raj Institution (PRI),DIST-0523,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0659,UTT-District-09 - Municipal Corporation (MC),DIST-0009,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0660,KAR-District-23 - Water Supply & Sewerage Board,DIST-0338,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0661,CHH-District-11 - Panchayati Raj Institution (PRI),DIST-0575,ST-17,Rural Development Department (RDD)
AGENCY-0662,CHH-District-08 - Municipal Corporation (MC),DIST-0572,ST-17,Municipal Corporation (MC)
AGENCY-0663,BIH-District-30 - Municipal Corporation (MC),DIST-0141,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0664,UTT-District-66 - Rural Development Department (RDD),DIST-0066,ST-01,Water Supply & Sewerage Board
AGENCY-0665,GUJ-District-08 - Municipal Corporation (MC),DIST-0354,ST-09,Public Works Department (PWD)
AGENCY-0666,BIH-District-24 - Water Supply & Sewerage Board,DIST-0135,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0667,PUN-District-09 - Water Supply & Sewerage Board,DIST-0550,ST-16,Rural Development Department (RDD)
AGENCY-0668,CHH-District-24 - Municipal Corporation (MC),DIST-0588,ST-17,Public Works Department (PWD)
AGENCY-0669,UTT-District-60 - Public Works Department (PWD),DIST-0060,ST-01,Municipal Corporation (MC)
AGENCY-0670,MAH-District-14 - Rural Development Department (RDD),DIST-0089,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0671,MAH-District-09 - Rural Development Department (RDD),DIST-0084,ST-02,Municipal Corporation (MC)
AGENCY-0672,HAR-District-05 - Panchayati Raj Institution (PRI),DIST-0602,ST-18,Municipal Corporation (MC)
AGENCY-0673,KAR-District-14 - Panchayati Raj Institution (PRI),DIST-0329,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0674,CHH-District-30 - Public Works Department (PWD),DIST-0594,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0675,UTT-District-32 - Water Supply & Sewerage Board,DIST-0032,ST-01,Municipal Corporation (MC)
AGENCY-0676,UTT-District-30 - Municipal Corporation (MC),DIST-0030,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0677,UTT-District-30 - Water Supply & Sewerage Board,DIST-0030,ST-01,Rural Development Department (RDD)
AGENCY-0678,UTT-District-15 - Municipal Corporation (MC),DIST-0015,ST-01,Rural Development Department (RDD)
AGENCY-0679,ODI-District-02 - Public Works Department (PWD),DIST-0407,ST-11,Water Supply & Sewerage Board
AGENCY-0680,TAM-District-33 - Panchayati Raj Institution (PRI),DIST-0260,ST-06,Water Supply & Sewerage Board
AGENCY-0681,KAR-District-25 - Public Works Department (PWD),DIST-0340,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0682,AND-District-21 - Rural Development Department (RDD),DIST-0400,ST-10,Public Works Department (PWD)
AGENCY-0683,UTT-District-34 - Water Supply & Sewerage Board,DIST-0034,ST-01,Public Works Department (PWD)
AGENCY-0684,GUJ-District-16 - Water Supply & Sewerage Board,DIST-0362,ST-09,Rural Development Department (RDD)
AGENCY-0685,BIH-District-13 - Municipal Corporation (MC),DIST-0124,ST-03,Municipal Corporation (MC)
AGENCY-0686,UTT-District-10 - Panchayati Raj Institution (PRI),DIST-0010,ST-01,Public Works Department (PWD)
AGENCY-0687,TAM-District-21 - Rural Development Department (RDD),DIST-0248,ST-06,Water Supply & Sewerage Board
AGENCY-0688,HAR-District-08 - Municipal Corporation (MC),DIST-0605,ST-18,Municipal Corporation (MC)
AGENCY-0689,UTT-District-15 - Public Works Department (PWD),DIST-0015,ST-01,Municipal Corporation (MC)
AGENCY-0690,RAJ-District-01 - Panchayati Raj Institution (PRI),DIST-0266,ST-07,Municipal Corporation (MC)
AGENCY-0691,MAD-District-43 - Municipal Corporation (MC),DIST-0215,ST-05,Municipal Corporation (MC)
AGENCY-0692,BIH-District-38 - Municipal Corporation (MC),DIST-0149,ST-03,Public Works Department (PWD)
AGENCY-0693,MAD-District-21 - Municipal Corporation (MC),DIST-0193,ST-05,Water Supply & Sewerage Board
AGENCY-0694,UTT-District-41 - Municipal Corporation (MC),DIST-0041,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0695,GUJ-District-29 - Municipal Corporation (MC),DIST-0375,ST-09,Public Works Department (PWD)
AGENCY-0696,TEL-District-23 - Rural Development Department (RDD),DIST-0458,ST-12,Public Works Department (PWD)
AGENCY-0697,RAJ-District-12 - Public Works Department (PWD),DIST-0277,ST-07,Municipal Corporation (MC)
AGENCY-0698,GUJ-District-04 - Panchayati Raj Institution (PRI),DIST-0350,ST-09,Public Works Department (PWD)
AGENCY-0699,KER-District-05 - Public Works Department (PWD),DIST-0473,ST-13,Rural Development Department (RDD)
AGENCY-0700,TAM-District-19 - Municipal Corporation (MC),DIST-0246,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0701,JHA-District-24 - Water Supply & Sewerage Board,DIST-0506,ST-14,Municipal Corporation (MC)
AGENCY-0702,UTT-District-25 - Municipal Corporation (MC),DIST-0025,ST-01,Rural Development Department (RDD)
AGENCY-0703,PUN-District-09 - Water Supply & Sewerage Board,DIST-0550,ST-16,Public Works Department (PWD)
AGENCY-0704,UTT-District-62 - Municipal Corporation (MC),DIST-0062,ST-01,Public Works Department (PWD)
AGENCY-0705,HAR-District-03 - Panchayati Raj Institution (PRI),DIST-0600,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0706,ASS-District-27 - Rural Development Department (RDD),DIST-0533,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0707,HAR-District-22 - Public Works Department (PWD),DIST-0619,ST-18,Public Works Department (PWD)
AGENCY-0708,MAH-District-16 - Rural Development Department (RDD),DIST-0091,ST-02,Public Works Department (PWD)
AGENCY-0709,MAH-District-32 - Water Supply & Sewerage Board,DIST-0107,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0710,MAD-District-50 - Panchayati Raj Institution (PRI),DIST-0222,ST-05,Water Supply & Sewerage Board
AGENCY-0711,RAJ-District-40 - Panchayati Raj Institution (PRI),DIST-0305,ST-07,Water Supply & Sewerage Board
AGENCY-0712,UTT-District-24 - Panchayati Raj Institution (PRI),DIST-0024,ST-01,Municipal Corporation (MC)
AGENCY-0713,KAR-District-04 - Water Supply & Sewerage Board,DIST-0319,ST-08,Water Supply & Sewerage Board
AGENCY-0714,MAD-District-37 - Water Supply & Sewerage Board,DIST-0209,ST-05,Rural Development Department (RDD)
AGENCY-0715,BIH-District-38 - Water Supply & Sewerage Board,DIST-0149,ST-03,Public Works Department (PWD)
AGENCY-0716,MAD-District-47 - Municipal Corporation (MC),DIST-0219,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0717,ASS-District-17 - Rural Development Department (RDD),DIST-0523,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0718,MAH-District-03 - Rural Development Department (RDD),DIST-0078,ST-02,Public Works Department (PWD)
AGENCY-0719,TEL-District-24 - Rural Development Department (RDD),DIST-0459,ST-12,Municipal Corporation (MC)
AGENCY-0720,MAD-District-42 - Panchayati Raj Institution (PRI),DIST-0214,ST-05,Water Supply & Sewerage Board
AGENCY-0721,ASS-District-29 - Public Works Department (PWD),DIST-0535,ST-15,Municipal Corporation (MC)
AGENCY-0722,CHH-District-28 - Municipal Corporation (MC),DIST-0592,ST-17,Public Works Department (PWD)
AGENCY-0723,ODI-District-07 - Municipal Corporation (MC),DIST-0412,ST-11,Municipal Corporation (MC)
AGENCY-0724,RAJ-District-01 - Panchayati Raj Institution (PRI),DIST-0266,ST-07,Municipal Corporation (MC)
AGENCY-0725,RAJ-District-23 - Municipal Corporation (MC),DIST-0288,ST-07,Municipal Corporation (MC)
AGENCY-0726,MAD-District-16 - Municipal Corporation (MC),DIST-0188,ST-05,Municipal Corporation (MC)
AGENCY-0727,RAJ-District-39 - Municipal Corporation (MC),DIST-0304,ST-07,Public Works Department (PWD)
AGENCY-0728,TAM-District-13 - Municipal Corporation (MC),DIST-0240,ST-06,Water Supply & Sewerage Board
AGENCY-0729,AND-District-21 - Municipal Corporation (MC),DIST-0400,ST-10,Rural Development Department (RDD)
AGENCY-0730,ODI-District-29 - Rural Development Department (RDD),DIST-0434,ST-11,Public Works Department (PWD)
AGENCY-0731,WES-District-04 - Municipal Corporation (MC),DIST-0153,ST-04,Water Supply & Sewerage Board
AGENCY-0732,RAJ-District-42 - Water Supply & Sewerage Board,DIST-0307,ST-07,Municipal Corporation (MC)
AGENCY-0733,GUJ-District-02 - Water Supply & Sewerage Board,DIST-0348,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0734,RAJ-District-10 - Municipal Corporation (MC),DIST-0275,ST-07,Municipal Corporation (MC)
AGENCY-0735,KAR-District-12 - Panchayati Raj Institution (PRI),DIST-0327,ST-08,Water Supply & Sewerage Board
AGENCY-0736,UTT-District-41 - Public Works Department (PWD),DIST-0041,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0737,UTT-District-22 - Rural Development Department (RDD),DIST-0022,ST-01,Panchayati Raj Institution (PRI)
